Command station,Male 2014,Female 2014,Total 2014,Male 2015,Female 2015,Total 2015,Male 2016,Female 2016,Total 2016,Male 2017*,Female 2017*,Total 2017*
Mombasa,2266,620,"2,886","1,045",140,"1,185","2,426",806,"3,232","2,435",578,"3,013"
Kwale,376,135,511,904,272,"1,176",740,103,843,431,126,557
Kilifi,587,104,691,"1,481",330,"1,811","1,583",475,"2,058","1,814",283,"2,097"
Tana River,395,109,504,415,81,496,324,70,394,374,44,418
Lamu,360,41,401,577,140,717,313,35,348,412,41,453
Taita Taveta,940,153,"1,093",870,184,"1,054",561,143,704,608,87,695
Garissa,399,280,679,270,23,293,71,262,333,389,154,543
Wajir,66,11,77,165,47,212,141,107,248,268,36,304
Mandera,310,29,339,259,17,276,149,29,178,271,31,302
Marsabit,468,60,528,377,69,446,695,49,744,403,105,508
Isiolo,258,80,338,93,4,97,346,78,424,276,82,358
Meru,4588,"1,525","6,113","2,870","1,292","4,162","4,339","1,134","5,473","3,772","1,113","4,885"
Tharaka-Nithi,665,96,761,559,129,688,721,99,820,688,184,872
Embu,1342,180,"1,522","1,110",327,"1,437",695,428,"1,123","1,029",446,"1,475"
Kitui,1328,309,"1,637","1,788",410,"2,198","1,225",370,"1,595","1,380",281,"1,661"
Machakos,2123,679,"2,802","1,829",471,"2,300","1,929",287,"2,216","1,792",320,"2,112"
Makueni,1339,218,"1,557","1,293",223,"1,516","1,203",221,"1,424",990,183,"1,173"
Nyandarua,1202,299,"1,501","1,243",286,"1,529","1,360",249,"1,609","1,486",275,"1,761"
Nyeri,1519,284,"1,803","1,330",709,"2,039","1,257",301,"1,558","1,342",247,"1,589"
Kirinyaga,628,343,971,423,185,608,"1,171",478,"1,649","1,554",314,"1,868"
Muranga',1992,380,"2,372","1,333",334,"1,667","1,741",366,"2,107","2,150",330,"2,480"
Kiambu,3804,"1,199","5,003","4,401","1,304","5,705","3,707","1,235","4,942","3,773","1,575","5,348"
Turkana,737,240,977,350,41,391,403,18,421,"1,056",106,"1,162"
West Pokot,659,147,806,464,142,606,657,90,747,535,184,719
Samburu,35,38,73,234,53,287,276,58,334,419,165,584
Trans Nzoia,3129,818,"3,947","1,751",463,"2,214","1,304",171,"1,475","1,189",546,"1,735"
Uasin Gishu,1631,406,"2,037","1,439",222,"1,661","1,861",396,"2,257","1,434",439,"1,873"
Elgeyo/Marakwet,644,84,728,324,60,384,471,83,554,479,100,579
Nandi,633,171,804,724,229,953,884,163,"1,047",805,159,964
Baringo,721,134,855,579,133,712,698,290,988,728,114,842
Laikipia,730,114,844,739,127,866,884,188,"1,072","1,159",212,"1,371"
Nakuru,2757,807,"3,564","3,038",775,"3,813","2,787",986,"3,773","2,840","1,107","3,947"
Narok,1156,300,"1,456",292,110,402,"1,260",380,"1,640","1,266",210,"1,476"
Kajiado,322,319,641,"1,108",305,"1,413","1,194",125,"1,319",756,186,942
Kericho,1383,183,"1,566","1,075",184,"1,259","1,277",243,"1,520","1,020",308,"1,328"
Bomet,1073,162,"1,235",636,78,714,820,174,994,796,112,908
Kakamega,2355,339,"2,694","2,294",701,"2,995","2,901","1,676","4,577",677,103,780
Vihiga,1903,217,"2,120","1,045",140,"1,185",882,145,"1,027",498,140,638
Bungoma,2467,541,"3,008","2,138",433,"2,571","1,099",458,"1,557","2,111",407,"2,518"
Busia,1191,120,"1,311","1,358",537,"1,895","1,195",246,"1,441","1,749",423,"2,172"
Siaya,1030,224,"1,254","1,025",145,"1,170",894,394,"1,288","1,226",163,"1,389"
Kisumu,900,146,"1,046","1,775",327,"2,102","1,388",371,"1,759","1,409",363,"1,772"
Homa Bay,992,351,"1,343",993,131,"1,124","1,256",193,"1,449",956,205,"1,161"
Migori,844,198,"1,042","1,349",176,"1,525",290,70,360,290,119,409
Kisii,1525,514,"2,039","1,275",408,"1,683","1,701",358,"2,059","2,142",344,"2,486"
Nyamira,898,217,"1,115","1,000",158,"1,158",612,206,818,822,148,970
Nairobi City,5799,2309,"8,108","4,110","1,465","5,575","4,581","1,646","6,227","4,342","1,285","5,627"
