County,LicensedTotal000,LicensedMicroPercent,LicensedSmallPercent,LicensedMediumPercent,Unlicensed000,Total000
Nairobi,268.1,83.8,14.8,1.4,782.5,1050.6
Nyandarua,17.6,96.1,3.2,0.7,83.6,101.2
Nyeri,30.5,97.5,1.9,0.6,85.9,116.4
Kirinyaga,30.3,96.9,2.8,0.3,125.4,155.7
Muranga,14.2,97.1,2.6,0.4,99.4,113.6
Kiambu,92.4,91.4,7.9,0.7,170.8,263.2
Mombasa,41.9,90.6,8.7,0.6,163.9,205.8
Kwale,14.2,93.5,5.4,1.1,89.9,104.1
Kilifi,29.9,96.6,2.8,0.7,271.5,301.4
Tana River,1.8,95.9,2.9,1.2,33.4,35.2
Lamu,9.2,97,2.9,0.2,29.5,38.7
Taita Taveta,22.5,94.2,4.4,1.4,60.5,83
Marsabit,2.2,94.5,5.1,0.3,37.9,40.1
Isiolo,2.6,94,5.3,0.8,15,17.6
Meru,95.1,97.5,2.3,0.2,143.4,238.5
Tharaka,8.4,96.3,3.7,-,72.2,80.6
Embu,21,95.1,4.6,0.3,84.8,105.8
Kitui,16.7,97.5,2.5,-,71.5,88.2
Machakos,39.1,91.8,7.8,0.4,234.4,273.5
Makueni,27.4,97.7,2.2,0.1,106.3,133.7
Garissa,3.9,96.8,2.8,0.4,47.3,51.2
Wajir,1.8,98.3,0.8,0.8,3.7,5.5
Mandera,23.7,96.7,3.3,-,55.8,79.5
Siaya,14.2,97.2,2.2,0.6,190.5,204.7
Kisumu,40.2,84.6,13.2,2.2,197,237.2
Migori,39.7,91.6,8.1,0.3,133.5,173.2
Homa Bay,48.5,93.6,5.9,0.5,134.4,182.9
Kisii,27.3,91.2,8,0.7,170,197.3
Nyamira,35.7,96.2,3.7,0.2,62.7,98.4
Turkana,7.3,93.1,6.4,0.4,108.8,116.1
West Pokot,3.1,97.5,2.5,-,64.4,67.5
Samburu,6.6,94.7,5.1,0.2,28.1,34.7
Trans-Nzoia,16.3,95.6,3.8,0.6,83.3,99.6
Baringo,16.9,96.3,3.7,-,84.1,101
Uasin Gishu,57.6,94.2,5.6,0.2,151.2,208.8
Elgeyo Marakwet,5.6,96.8,3.2,-,21.8,27.4
Nandi,12.9,95,4.7,0.3,84.6,97.5
Laikipia,13.6,95.9,3.6,0.5,52.4,66
Nakuru,118.2,92.6,6.6,0.8,257.9,376.1
Narok,21.6,92.1,7,0.9,100.5,122.1
Kajiado,46.1,92.4,6.7,0.9,101.9,148
Kericho,19.8,85.9,12.7,1.4,73.3,93.1
Bomet,14,95.9,4.1,-,156,170
Kakamega,53,92.6,6.4,1,300.4,353.4
Vihiga,11.3,96,3.9,0.1,78.5,89.8
Bungoma,17.2,92.8,6.9,0.3,269.7,286.9
Busia,28,97.6,1.5,0.9,76.6,104.6
